TradingDate,VIC,YEG
2013-12-27,19651.0,
2013-12-30,19370.0,
2013-12-31,19651.0,
2014-01-02,19651.0,
2014-01-03,19791.0,
2014-01-06,19791.0,
2014-01-07,19791.0,
2014-01-08,19651.0,
2014-01-09,19791.0,
2014-01-10,19932.0,
2014-01-13,19932.0,
2014-01-14,19791.0,
2014-01-15,19791.0,
2014-01-16,19791.0,
2014-01-17,20353.0,
2014-01-20,21335.0,
2014-01-21,22318.0,
2014-01-22,21616.0,
2014-01-23,21195.0,
2014-01-24,21476.0,
2014-01-27,21476.0,
2014-02-06,21195.0,
2014-02-07,20914.0,
2014-02-10,21335.0,
2014-02-11,21476.0,
2014-02-12,21756.0,
2014-02-13,21897.0,
2014-02-14,21616.0,
2014-02-17,21476.0,
2014-02-18,21897.0,
2014-02-19,22037.0,
2014-02-20,22037.0,
2014-02-21,21756.0,
2014-02-24,21897.0,
2014-02-25,21897.0,
2014-02-26,21756.0,
2014-02-27,21897.0,
2014-02-28,21476.0,
2014-03-03,20914.0,
2014-03-04,20633.0,
2014-03-05,20914.0,
2014-03-06,20914.0,
2014-03-07,21055.0,
2014-03-10,21195.0,
2014-03-11,21055.0,
2014-03-12,21616.0,
2014-03-13,21616.0,
2014-03-14,21335.0,
2014-03-17,22037.0,
2014-03-18,21756.0,
2014-03-19,21756.0,
2014-03-20,21476.0,
2014-03-21,22037.0,
2014-03-24,21897.0,
2014-03-25,21476.0,
2014-03-26,20633.0,
2014-03-27,20914.0,
2014-03-28,20774.0,
2014-03-31,20633.0,
2014-04-01,20353.0,
2014-04-02,20353.0,
2014-04-03,20633.0,
2014-04-04,20633.0,
2014-04-07,20493.0,
2014-04-08,19932.0,
2014-04-10,19791.0,
2014-04-11,19370.0,
2014-04-14,19230.0,
2014-04-15,19089.0,
2014-04-16,18528.0,
2014-04-17,18668.0,
2014-04-18,18247.0,
2014-04-21,18107.0,
2014-04-22,18528.0,
2014-04-23,18809.0,
2014-04-24,18809.0,
2014-04-25,18809.0,
2014-04-28,18388.0,
2014-04-29,18247.0,
2014-05-05,17967.0,
2014-05-06,17826.0,
2014-05-07,18107.0,
2014-05-08,17545.0,
2014-05-09,17967.0,
2014-05-12,17545.0,
2014-05-13,17545.0,
